[libx264 @ 0xaaab05600cf0] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaab05600cf0] profile High, level 3.0
pts:100864 pts_time:7.88 dts:99840 dts_time:7.8 duration:0 duration_time:0 stream_index:0
pts:101376 pts_time:7.92 dts:100352 dts_time:7.84 duration:0 duration_time:0 stream_index:0
pts:102400 pts_time:8 dts:100864 dts_time:7.88 duration:0 duration_time:0 stream_index:0
pts:101888 pts_time:7.96 dts:101376 dts_time:7.92 duration:0 duration_time:0 stream_index:0
pts:103424 pts_time:8.08 dts:101888 dts_time:7.96 duration:0 duration_time:0 stream_index:0
pts:102912 pts_time:8.04 dts:102400 dts_time:8 duration:0 duration_time:0 stream_index:0
pts:103936 pts_time:8.12 dts:102912 dts_time:8.04 duration:0 duration_time:0 stream_index:0
pts:104960 pts_time:8.2 dts:103424 dts_time:8.08 duration:0 duration_time:0 stream_index:0
pts:104448 pts_time:8.16 dts:103936 dts_time:8.12 duration:0 duration_time:0 stream_index:0
pts:105984 pts_time:8.28 dts:104448 dts_time:8.16 duration:0 duration_time:0 stream_index:0
pts:105472 pts_time:8.24 dts:104960 dts_time:8.2 duration:0 duration_time:0 stream_index:0
pts:106496 pts_time:8.32 dts:105472 dts_time:8.24 duration:0 duration_time:0 stream_index:0
pts:107008 pts_time:8.36 dts:105984 dts_time:8.28 duration:0 duration_time:0 stream_index:0
pts:108032 pts_time:8.44 dts:106496 dts_time:8.32 duration:0 duration_time:0 stream_index:0
pts:107520 pts_time:8.4 dts:107008 dts_time:8.36 duration:0 duration_time:0 stream_index:0
pts:108544 pts_time:8.48 dts:107520 dts_time:8.4 duration:0 duration_time:0 stream_index:0
pts:109056 pts_time:8.52 dts:108032 dts_time:8.44 duration:0 duration_time:0 stream_index:0
pts:109568 pts_time:8.56 dts:108544 dts_time:8.48 duration:0 duration_time:0 stream_index:0
pts:111104 pts_time:8.68 dts:109056 dts_time:8.52 duration:0 duration_time:0 stream_index:0
pts:110080 pts_time:8.6 dts:109568 dts_time:8.56 duration:0 duration_time:0 stream_index:0
pts:110592 pts_time:8.64 dts:110080 dts_time:8.6 duration:0 duration_time:0 stream_index:0
pts:112128 pts_time:8.76 dts:110592 dts_time:8.64 duration:0 duration_time:0 stream_index:0
pts:111616 pts_time:8.72 dts:111104 dts_time:8.68 duration:0 duration_time:0 stream_index:0
pts:112640 pts_time:8.8 dts:111616 dts_time:8.72 duration:0 duration_time:0 stream_index:0
pts:113152 pts_time:8.84 dts:112128 dts_time:8.76 duration:0 duration_time:0 stream_index:0
pts:114176 pts_time:8.92 dts:112640 dts_time:8.8 duration:0 duration_time:0 stream_index:0
pts:113664 pts_time:8.88 dts:113152 dts_time:8.84 duration:0 duration_time:0 stream_index:0
pts:114688 pts_time:8.96 dts:113664 dts_time:8.88 duration:0 duration_time:0 stream_index:0
pts:115712 pts_time:9.04 dts:114176 dts_time:8.92 duration:0 duration_time:0 stream_index:0
pts:115200 pts_time:9 dts:114688 dts_time:8.96 duration:0 duration_time:0 stream_index:0
pts:117248 pts_time:9.16 dts:115200 dts_time:9 duration:0 duration_time:0 stream_index:0
[libx264 @ 0xaaab05600cf0] frame I:22    Avg QP:25.27  size: 13928
[libx264 @ 0xaaab05600cf0] frame P:113   Avg QP:29.25  size:  2002
[libx264 @ 0xaaab05600cf0] frame B:116   Avg QP:35.15  size:   687
[libx264 @ 0xaaab05600cf0] consecutive B-frames: 28.3% 24.7% 16.7% 30.3%
[libx264 @ 0xaaab05600cf0] mb I  I16..4: 29.4% 52.2% 18.4%
[libx264 @ 0xaaab05600cf0] mb P  I16..4: 15.9%  4.0%  1.2%  P16..4: 33.3%  1.1%  1.6%  0.0%  0.0%    skip:42.8%
[libx264 @ 0xaaab05600cf0] mb B  I16..4:  0.0%  1.4%  0.0%  B16..8: 17.5%  0.0%  0.0%  direct: 7.8%  skip:73.3%  L0:74.5% L1:25.3% BI: 0.2%
[libx264 @ 0xaaab05600cf0] final ratefactor: 29.27
[libx264 @ 0xaaab05600cf0] 8x8 transform intra:37.1% inter:89.4%
[libx264 @ 0xaaab05600cf0] coded y,uvDC,uvAC intra: 43.8% 81.9% 28.9% inter: 2.6% 27.4% 2.4%
[libx264 @ 0xaaab05600cf0] i16 v,h,dc,p:  4%  7%  2% 87%
[libx264 @ 0xaaab05600cf0] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 37% 17% 33%  4%  1%  1%  1%  3%  3%
[libx264 @ 0xaaab05600cf0] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 55% 21% 13%  9%  0%  0%  0%  0%  1%
[libx264 @ 0xaaab05600cf0] i8c dc,h,v,p: 28% 34% 20% 18%
[libx264 @ 0xaaab05600cf0] Weighted P-Frames: Y:5.3% UV:2.7%
[libx264 @ 0xaaab05600cf0] ref P L0: 89.8%  6.2%  3.4%  0.5%  0.1%
[libx264 @ 0xaaab05600cf0] ref B L0: 97.6%  2.0%  0.4%
[libx264 @ 0xaaab05600cf0] ref B L1: 99.4%  0.6%
[libx264 @ 0xaaab05600cf0] kb/s:487.86
pts:116224 pts_time:9.08 dts:115712 dts_time:9.04 duration:0 duration_time:0 stream_index:0
pts:116736 pts_time:9.12 dts:116224 dts_time:9.08 duration:0 duration_time:0 stream_index:0
pts:118784 pts_time:9.28 dts:116736 dts_time:9.12 duration:0 duration_time:0 stream_index:0
pts:117760 pts_time:9.2 dts:117248 dts_time:9.16 duration:0 duration_time:0 stream_index:0
pts:118272 pts_time:9.24 dts:117760 dts_time:9.2 duration:0 duration_time:0 stream_index:0
pts:119296 pts_time:9.32 dts:118272 dts_time:9.24 duration:0 duration_time:0 stream_index:0
pts:120320 pts_time:9.4 dts:118784 dts_time:9.28 duration:0 duration_time:0 stream_index:0
pts:119808 pts_time:9.36 dts:119296 dts_time:9.32 duration:0 duration_time:0 stream_index:0
pts:121344 pts_time:9.48 dts:119808 dts_time:9.36 duration:0 duration_time:0 stream_index:0
pts:120832 pts_time:9.44 dts:120320 dts_time:9.4 duration:0 duration_time:0 stream_index:0
pts:123392 pts_time:9.64 dts:120832 dts_time:9.44 duration:0 duration_time:0 stream_index:0
pts:122368 pts_time:9.56 dts:121344 dts_time:9.48 duration:0 duration_time:0 stream_index:0
pts:121856 pts_time:9.52 dts:121856 dts_time:9.52 duration:0 duration_time:0 stream_index:0
pts:122880 pts_time:9.6 dts:122368 dts_time:9.56 duration:0 duration_time:0 stream_index:0
pts:124928 pts_time:9.76 dts:122880 dts_time:9.6 duration:0 duration_time:0 stream_index:0
pts:123904 pts_time:9.68 dts:123392 dts_time:9.64 duration:0 duration_time:0 stream_index:0
pts:124416 pts_time:9.72 dts:123904 dts_time:9.68 duration:0 duration_time:0 stream_index:0
pts:125440 pts_time:9.8 dts:124416 dts_time:9.72 duration:0 duration_time:0 stream_index:0
pts:126464 pts_time:9.88 dts:124928 dts_time:9.76 duration:0 duration_time:0 stream_index:0
pts:125952 pts_time:9.84 dts:125440 dts_time:9.8 duration:0 duration_time:0 stream_index:0
pts:127488 pts_time:9.96 dts:125952 dts_time:9.84 duration:0 duration_time:0 stream_index:0
