pts:29184 pts_time:2.28 dts:28160 dts_time:2.2 duration:0 duration_time:0 stream_index:0
pts:153600 pts_time:3.48299 dts:153600 dts_time:3.48299 duration:1024 duration_time:0.02322 stream_index:1
pts:154624 pts_time:3.50621 dts:154624 dts_time:3.50621 duration:1024 duration_time:0.02322 stream_index:1
pts:29696 pts_time:2.32 dts:28672 dts_time:2.24 duration:0 duration_time:0 stream_index:0
pts:155648 pts_time:3.52943 dts:155648 dts_time:3.52943 duration:1024 duration_time:0.02322 stream_index:1
pts:156672 pts_time:3.55265 dts:156672 dts_time:3.55265 duration:1024 duration_time:0.02322 stream_index:1
pts:30208 pts_time:2.36 dts:29184 dts_time:2.28 duration:0 duration_time:0 stream_index:0
pts:157696 pts_time:3.57587 dts:157696 dts_time:3.57587 duration:1024 duration_time:0.02322 stream_index:1
pts:30720 pts_time:2.4 dts:29696 dts_time:2.32 duration:0 duration_time:0 stream_index:0
pts:158720 pts_time:3.59909 dts:158720 dts_time:3.59909 duration:1024 duration_time:0.02322 stream_index:1
pts:159744 pts_time:3.62231 dts:159744 dts_time:3.62231 duration:1024 duration_time:0.02322 stream_index:1
pts:31232 pts_time:2.44 dts:30208 dts_time:2.36 duration:0 duration_time:0 stream_index:0
pts:160768 pts_time:3.64553 dts:160768 dts_time:3.64553 duration:1024 duration_time:0.02322 stream_index:1
pts:161792 pts_time:3.66875 dts:161792 dts_time:3.66875 duration:1024 duration_time:0.02322 stream_index:1
pts:31744 pts_time:2.48 dts:30720 dts_time:2.4 duration:0 duration_time:0 stream_index:0
pts:162816 pts_time:3.69197 dts:162816 dts_time:3.69197 duration:1024 duration_time:0.02322 stream_index:1
pts:32256 pts_time:2.52 dts:31232 dts_time:2.44 duration:0 duration_time:0 stream_index:0
pts:163840 pts_time:3.71519 dts:163840 dts_time:3.71519 duration:1024 duration_time:0.02322 stream_index:1
pts:164864 pts_time:3.73841 dts:164864 dts_time:3.73841 duration:1024 duration_time:0.02322 stream_index:1
pts:32768 pts_time:2.56 dts:31744 dts_time:2.48 duration:0 duration_time:0 stream_index:0
pts:165888 pts_time:3.76163 dts:165888 dts_time:3.76163 duration:1024 duration_time:0.02322 stream_index:1
pts:166912 pts_time:3.78485 dts:166912 dts_time:3.78485 duration:1024 duration_time:0.02322 stream_index:1
pts:33280 pts_time:2.6 dts:32256 dts_time:2.52 duration:0 duration_time:0 stream_index:0
pts:167936 pts_time:3.80807 dts:167936 dts_time:3.80807 duration:1024 duration_time:0.02322 stream_index:1
pts:168960 pts_time:3.83129 dts:168960 dts_time:3.83129 duration:1024 duration_time:0.02322 stream_index:1
pts:33792 pts_time:2.64 dts:32768 dts_time:2.56 duration:0 duration_time:0 stream_index:0
pts:169984 pts_time:3.85451 dts:169984 dts_time:3.85451 duration:1024 duration_time:0.02322 stream_index:1
pts:34304 pts_time:2.68 dts:33280 dts_time:2.6 duration:0 duration_time:0 stream_index:0
pts:171008 pts_time:3.87773 dts:171008 dts_time:3.87773 duration:1024 duration_time:0.02322 stream_index:1
pts:172032 pts_time:3.90095 dts:172032 dts_time:3.90095 duration:1024 duration_time:0.02322 stream_index:1
pts:34816 pts_time:2.72 dts:33792 dts_time:2.64 duration:0 duration_time:0 stream_index:0
pts:173056 pts_time:3.92417 dts:173056 dts_time:3.92417 duration:1024 duration_time:0.02322 stream_index:1
pts:174080 pts_time:3.94739 dts:174080 dts_time:3.94739 duration:1024 duration_time:0.02322 stream_index:1
pts:35328 pts_time:2.76 dts:34304 dts_time:2.68 duration:0 duration_time:0 stream_index:0
