运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:182272 pts_time:4.13315 dts:182272 dts_time:4.13315 duration:1024 duration_time:0.02322 stream_index:0
pts:183296 pts_time:4.15637 dts:183296 dts_time:4.15637 duration:1024 duration_time:0.02322 stream_index:0
pts:184320 pts_time:4.17959 dts:184320 dts_time:4.17959 duration:1024 duration_time:0.02322 stream_index:0
pts:185344 pts_time:4.20281 dts:185344 dts_time:4.20281 duration:1024 duration_time:0.02322 stream_index:0
pts:186368 pts_time:4.22603 dts:186368 dts_time:4.22603 duration:1024 duration_time:0.02322 stream_index:0
pts:187392 pts_time:4.24925 dts:187392 dts_time:4.24925 duration:1024 duration_time:0.02322 stream_index:0
pts:188416 pts_time:4.27247 dts:188416 dts_time:4.27247 duration:1024 duration_time:0.02322 stream_index:0
pts:189440 pts_time:4.29569 dts:189440 dts_time:4.29569 duration:1024 duration_time:0.02322 stream_index:0
pts:190464 pts_time:4.31891 dts:190464 dts_time:4.31891 duration:1024 duration_time:0.02322 stream_index:0
pts:191488 pts_time:4.34213 dts:191488 dts_time:4.34213 duration:1024 duration_time:0.02322 stream_index:0
pts:192512 pts_time:4.36535 dts:192512 dts_time:4.36535 duration:1024 duration_time:0.02322 stream_index:0
pts:193536 pts_time:4.38857 dts:193536 dts_time:4.38857 duration:1024 duration_time:0.02322 stream_index:0
pts:194560 pts_time:4.41179 dts:194560 dts_time:4.41179 duration:1024 duration_time:0.02322 stream_index:0
pts:195584 pts_time:4.43501 dts:195584 dts_time:4.43501 duration:1024 duration_time:0.02322 stream_index:0
pts:196608 pts_time:4.45823 dts:196608 dts_time:4.45823 duration:1024 duration_time:0.02322 stream_index:0
