运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_lx:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-mips64el/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
OpenJDK 64-Bit Zero VM warning: You have loaded library /usr/lib/libffmpeg-jni.so which might have disabled stack guard. The VM will try to fix the stack guard now.
It's highly recommended that you fix the library with 'execstack -c <libfile>', or link it with '-z noexecstack'.
视频编码
Output #0, flv, to '/tmp/02.flv':
    Stream #0:0: Video: flv1, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
pts:8200 pts_time:8.2 dts:8200 dts_time:8.2 duration:0 duration_time:0 stream_index:0
pts:8240 pts_time:8.24 dts:8240 dts_time:8.24 duration:0 duration_time:0 stream_index:0
pts:8280 pts_time:8.28 dts:8280 dts_time:8.28 duration:0 duration_time:0 stream_index:0
pts:8320 pts_time:8.32 dts:8320 dts_time:8.32 duration:0 duration_time:0 stream_index:0
pts:8360 pts_time:8.36 dts:8360 dts_time:8.36 duration:0 duration_time:0 stream_index:0
pts:8400 pts_time:8.4 dts:8400 dts_time:8.4 duration:0 duration_time:0 stream_index:0
pts:8440 pts_time:8.44 dts:8440 dts_time:8.44 duration:0 duration_time:0 stream_index:0
pts:8480 pts_time:8.48 dts:8480 dts_time:8.48 duration:0 duration_time:0 stream_index:0
pts:8520 pts_time:8.52 dts:8520 dts_time:8.52 duration:0 duration_time:0 stream_index:0
pts:8560 pts_time:8.56 dts:8560 dts_time:8.56 duration:0 duration_time:0 stream_index:0
pts:8600 pts_time:8.6 dts:8600 dts_time:8.6 duration:0 duration_time:0 stream_index:0
pts:8640 pts_time:8.64 dts:8640 dts_time:8.64 duration:0 duration_time:0 stream_index:0
pts:8680 pts_time:8.68 dts:8680 dts_time:8.68 duration:0 duration_time:0 stream_index:0
pts:8720 pts_time:8.72 dts:8720 dts_time:8.72 duration:0 duration_time:0 stream_index:0
pts:8760 pts_time:8.76 dts:8760 dts_time:8.76 duration:0 duration_time:0 stream_index:0
pts:8800 pts_time:8.8 dts:8800 dts_time:8.8 duration:0 duration_time:0 stream_index:0
pts:8840 pts_time:8.84 dts:8840 dts_time:8.84 duration:0 duration_time:0 stream_index:0
pts:8880 pts_time:8.88 dts:8880 dts_time:8.88 duration:0 duration_time:0 stream_index:0
pts:8920 pts_time:8.92 dts:8920 dts_time:8.92 duration:0 duration_time:0 stream_index:0
pts:8960 pts_time:8.96 dts:8960 dts_time:8.96 duration:0 duration_time:0 stream_index:0
pts:9000 pts_time:9 dts:9000 dts_time:9 duration:0 duration_time:0 stream_index:0
pts:9040 pts_time:9.04 dts:9040 dts_time:9.04 duration:0 duration_time:0 stream_index:0
pts:9080 pts_time:9.08 dts:9080 dts_time:9.08 duration:0 duration_time:0 stream_index:0
pts:9120 pts_time:9.12 dts:9120 dts_time:9.12 duration:0 duration_time:0 stream_index:0
